name	memory_card	garden	swim	fly	run	power	total	swim_stat	fly_stat	run_stat	power_stat	total_stat	stamina	stamina_stat	hat	intellegence	trips	luck
1/2fish	Black2	Neutral	51	7	13	39	110	951	102	271	604	1928	19	489	0	0	0	-7
angel	Black2	Hero	29	29	29	29	116	709	790	695	610	2804	9	250	0	0	0	-23
antenna	Black1	Dark	11	18	60	11	100	278	289	1334	208	2109	34	739	0	0	0	1
atom	White	Dark	7	8	30	70	115	114	197	751	1329	2391	24	529	0	0	0	-4
bamboo	Black2	Neutral	8	35	55	6	104	157	886	1510	137	2690	21	403	0	0	0	-19
bingo	White	Neutral	9	48	70	2	129	141	769	1711	33	2654	20	447	0	0	0	2
bowser	Black1	Dark	3	29	5	42	79	41	528	126	815	1510	16	354	0	0	0	12
bruno	White	Hero	7	30	3	62	102	109	575	59	1367	2110	34	554	0	0	0	3
bub-gum	Black1	Hero	32	89	4	27	152	498	1943	70	500	3011	8	238	0	0	0	-29
bubbles	White	Hero	7	0	33	60	100	154	0	830	1322	2306	30	481	0	0	0	14
buddha	White	Neutral	49	1	5	44	99	1340	0	72	1215	2627	26	350	0	0	0	-29
buddy	Black2	Dark	48	26	26	14	114	999	575	564	260	2398	15	239	0	0	0	0
bulb	Black1	Dark	12	19	69	9	109	192	530	1775	206	2703	20	260	0	0	0	2
cascade	Black2	Dark	60	11	30	0	101	1487	244	661	0	2392	19	369	0	0	0	1
cash	White	Hero	7	4	8	77	96	111	63	156	1443	1773	15	282	0	0	0	9
casino	Black1	Neutral	8	0	60	30	98	103	0	1303	569	1975	26	417	0	0	0	9
chai	Black2	Hero	9	48	43	6	106	169	1214	1201	131	2715	21	401	0	0	0	-1
chaobob	White	Dark	16	13	16	50	95	314	286	307	1027	1934	19	541	0	0	0	-21
chaoko	White	Dark	1	1	1	40	43	17	24	17	865	923	23	483	0	0	1	1
chaolee	White	Dark	12	16	50	12	90	230	259	1252	218	1959	17	409	0	0	0	6
chaorro	Black2	Hero	1	1	40	1	43	20	15	872	17	924	28	603	0	0	0	13
chaosky	AM	Dark	1	40	1	1	43	14	971	14	15	1014	30	753	0	0	1	19
chaosm	AM	Neutral	50	7	15	23	95	1365	91	236	525	2217	25	660	0	0	0	-10
climber	White	Hero	25	1	12	99	137	409	0	225	3016	3650	16	346	0	0	0	-48
cuckoo	Black1	Hero	36	24	27	36	123	778	501	508	813	2600	24	382	0	0	0	-21
daisy	Black2	Hero	9	29	10	23	71	204	739	187	368	1498	14	175	0	0	0	40
dash	Black1	Hero	30	0	60	7	97	664	0	1331	154	2149	22	348	0	0	0	1
devil	White	Neutral	29	29	29	29	116	712	777	714	533	2736	10	241	0	0	0	12
dino	White	Dark	43	13	13	28	97	1024	225	289	576	2114	24	478	0	0	0	-2
diva	Black2	Hero	30	32	37	18	117	479	906	820	445	2650	23	578	0	0	0	9
DK	Black2	Neutral	19	20	16	31	86	245	366	255	744	1610	11	269	0	0	0	4
dolphin	AM	Hero	60	10	30	0	100	1687	248	833	0	2768	20	376	0	0	0	-9
dopey	Black2	Neutral	55	40	11	8	114	1056	723	209	152	2140	25	402	0	0	0	-10
dragon	AM	Dark	26	38	9	37	110	637	1065	206	578	2486	0	0	0	0	0	30
drgnfly	Black2	Neutral	30	69	4	3	97	640	1502	57	40	2239	21	325	0	0	0	48
echo	AM	Neutral	71	1	30	0	102	1543	25	755	0	2323	25	623	0	0	0	4
edge	Black2	Hero	7	37	61	5	110	160	839	1364	109	2472	22	554	0	0	0	6
elf	Black2	Dark	8	82	30	0	98	100	1552	564	0	2216	28	357	0	0	0	9
flame	Black2	Dark	7	42	42	23	114	110	1184	1075	437	2806	30	409	0	0	0	-9
flash	AM	Neutral	41	4	50	5	100	906	88	1220	110	2324	20	370	0	0	0	-2
